id,path,label
0,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/8820.png,no label
1,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/348.png,no label
2,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/12085.png,no label
3,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/1804.png,no label
4,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/4968.png,no label
5,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/10686.png,no label
6,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/12091.png,no label
7,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/15098.png,no label
8,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/6819.png,no label
9,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/8834.png,no label
10,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/3961.png,no label
11,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/16591.png,no label
12,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/6831.png,no label
13,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/3949.png,no label
14,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/10876.png,no label
15,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/5486.png,no label
16,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/374.png,no label
17,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/1838.png,no label
18,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/7285.png,no label
19,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/10862.png,no label
20,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/4954.png,no label
21,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/5492.png,no label
22,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/3785.png,no label
23,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/6825.png,no label
24,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/14351.png,no label
25,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/2470.png,no label
26,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/10137.png,no label
27,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/2316.png,no label
28,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/10651.png,no label
29,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/5479.png,no label
30,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/16220.png,no label
31,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/4767.png,no label
32,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/10889.png,no label
33,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/3008.png,no label
34,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/12046.png,no label
35,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/15729.png,no label
36,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/6170.png,no label
37,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/8149.png,no label
38,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/6164.png,no label
39,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/9257.png,no label
40,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/14423.png,no label
41,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/10645.png,no label
42,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/18219.png,no label
43,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/16234.png,no label
44,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/4773.png,no label
45,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/17894.png,no label
46,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/4015.png,no label
47,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/2464.png,no label
48,/Users/user/Documents/Coding/cro_location_intelligence/notebook/data/crop_image/10123.png,no label
